,Tournament_Name,Date,Total_Prize,Num_Participants,Location,First_Place,Second_Place
234,Curse Dota 2 Invitational,"May 04 - 19, 2013","$10,000",8 teams,Europe,Liquid,Dignitas
235,AMD Premier League Season 1,"May 06 - 15, 2013","$5,000",20 teams,Southeast Asia,TongFu,Zenith
236,WePlay Dota2 League Season 1,"Mar 09 - May 13, 2013","$8,700",32 teams,World,[A],EG
237,DreamHack Invitational 2013,"Mar 14 - Apr 18, 2013","$6,000",8 teams,Europe,[A],Dignitas
238,Ritmix Russian Dota 2 League,"Mar 20 - 31, 2013","$6,000",8 teams,World,Dignitas,VP
239,Armaggeddon Dota 2 Grand Slam Asia 2013,"Mar 07 - 10, 2013","$22,500",12 teams,Singapore,ABC,FD
240,GosuLeague Season 4 Divison 1,"Oct 02 - 28, 2012","$5,000",8 teams,World,Na`Vi,KP
241,Alienware 2012 Battlegrounds,"Aug 01 - Sep 25, 2012","$3,000",8 teams,Southeast Asia,Orange,MUFC
242,WCG Asian Championship 2012,"Sep 08 - 09, 2012","$6,000",7 teams,"Kuala Lampur, Malaysia",Orange,MiTH
243,Samsung European Encounter,"Aug 17 - 19, 2012","$7,414",8 teams,"Cologne, Germany",WhA,Wolves
244,ProDOTA2 Non-Pro League Season 1,"Apr 13 - Jul 31, 2012","$10,000",36 teams,World,mTw,paiN
245,GosuLeague Season 3,"Jul 07 - 30, 2012","$5,000",24 teams,Europe,mouz,Darer
246,GosuLeague Season 2,"Jun 05 - Jul 01, 2012","$3,500",24 teams,Europe,mTw,mouz
247,Gigabyte Dota 2 Masters,"Apr 30 - Jun 23, 2012","$5,000",24 teams,World,LGD,Zenith
248,GosuLeague Season 1,"May 01 - 23, 2012","$1,500",8 teams,Europe,Infused,Keita
249,Razer Dota 2 Tournament,"Mar 08 - 11, 2012","$4,000",14 teams,Singapore,Mski,Orange
250,Dota2Replays Brawl,"Feb 11 - Mar 11, 2012","$6,000",4 teams,World,mouz,coL
251,Malaysia Invitational,"Dec 17 - 18, 2011","$10,000",8 teams,"Kuala Lampur, Malaysia",Orange,MiTH
252,DreamHack Winter 2011,"Nov 24 - 26, 2011","$14,398",8 teams,"Jönköping, Sweden",WHB,Fnatic
253,MYM Prime Defending #9,"Feb 01 - 21, 2008",$800,16 teams,,MYM,WolkeR
254,DreamHack Winter 2007,"Nov 29 - Dec 02, 2007","$8,175",,"Jönköping, Sweden",MYM,SK
255,MYM Prime Defending #7,"Sep 01 - 07, 2007",$650,16 teams,,VP,MYM
256,MYM Prime Defending #6,"Jun 30 - Jul 02, 2007",$400,16 teams,,VP,SP
257,MYM Prime Defending #5,"May 06 - 08, 2007",$300,16 teams,,T_T,MYM
258,MYM Prime Defending #1,"Apr 01 - 02, 2006",,16 teams,,SP,Apex
